Sim	LOG10_THETA_NOW	LOG10_OLD_SIZE_RELATIVE	LOG10_T_BOT	H_1	S_1	prS_1	D_1	FS_1	Pi_1
1	-2.0351	-0.633345	2.64457	1	159	159	-0.0370948	-3.73746	44.4158
2	-3.06743	-0.206874	1.23671	1	49	49	0.215728	-9.44232	14.5526
3	-3.97772	1.79791	1.83973	1	405	405	-0.223851	-1.45092	108.037
4	-2.01722	-1.73046	2.12198	1	459	459	-0.351792	-1.27601	118.484
5	-1.62825	-0.909655	2.33866	1	343	343	-0.660205	-2.04631	81.3789
6	-2.13258	-1.78819	1.45344	1	35	35	-1.71889	-18.1772	5.57895
7	-1.2693	-1.15275	1.28925	1	264	264	0.386463	-2.04793	81.3211
8	-3.28544	-0.596222	1.93401	0.984211	14	14	-0.018422	-15.2812	3.92632
9	-3.94794	-1.66872	2.32997	0	0	0	0	0	0
10	-1.4888	-1.98773	2.57596	1	476	476	-2.11459	-2.54544	66.2737
11	-3.03369	0.814249	1.90802	1	361	361	0.5837	-1.31561	115.989
12	-2.06915	0.211487	2.37552	1	929	929	0.906011	0.230053	318.505
13	-1.19726	1.03287	2.30469	1	17418	17418	1.81415	3.59854	7031.56
14	-2.77377	-0.668828	1.37592	1	23	23	-0.9889	-19.851	4.81579
15	-1.28856	0.957858	2.29175	1	14155	14155	1.34112	3.30491	5264.71
16	-2.68529	-1.53885	1.43889	1	52	52	-1.76549	-14.1649	8.23684
17	-2.88034	0.865208	1.41384	1	694	694	0.0854193	-0.41544	199.611
18	-2.80633	-1.96752	1.20565	0	0	0	0	0	0
19	-2.42883	1.64445	2.94026	1	7512	7512	0.342567	2.45057	2290.24
20	-1.26489	1.57571	2.44455	1	19295	19295	3.60448	3.40282e+38	10109
21	-1.25355	-0.379358	2.18463	1	1540	1540	0.214183	0.677755	456.258
22	-3.28433	-0.593119	2.59582	1	27	27	-0.398334	-16.013	6.83158
23	-2.2906	1.79473	2.2603	1	11930	11930	1.2461	3.1131	4361.05
24	-3.99644	1.11945	1.43856	1	79	79	0.302375	-6.38202	23.9158
25	-1.69614	0.171586	2.34697	1	1474	1474	0.793179	0.772903	494.095
26	-2.47633	1.17533	1.42394	1	2830	2830	0.459921	1.43759	885.153
27	-1.82436	-1.01127	2.63286	1	94	94	-0.00015588	-5.86293	26.4947
28	-2.65766	1.34496	1.21181	1	2414	2414	0.838282	1.34815	816.432
29	-1.51346	0.788764	2.61617	1	6892	6892	1.54029	2.60397	2655.66
30	-3.85593	-0.241666	1.30788	0.678947	4	4	-0.557047	-1.35591	0.910526
31	-1.33047	0.656088	2.4488	1	9485	9485	1.5346	2.93145	3651.09
32	-3.5803	-0.764028	1.62351	0.442105	4	4	-1.43544	-2.62415	0.568421
33	-1.27997	0.891783	1.19055	1	14534	14534	1.38041	3.33896	5444.01
34	-1.24149	1.54413	2.61916	1	19909	19909	4.18203	3.40282e+38	11202.8
35	-1.04704	1.58049	1.86094	1	17223	17223	2.61353	3.71348	7877.39
36	-3.23886	-0.566702	1.83172	1	15	15	-0.0933828	-21.7068	4.12105
37	-2.39446	1.8645	1.55357	1	12827	12827	1.11038	3.16129	4572.03
38	-3.35388	1.64114	1.9124	1	1426	1426	0.19831	0.580242	420.963
39	-3.50502	1.80217	1.82523	1	1315	1315	0.147278	0.466086	383.684
40	-3.20074	-0.696247	2.83127	0.957895	10	10	1.20437	-6.81728	3.78947
41	-1.11781	1.68522	1.03395	1	19987	19987	4.92902	3.40282e+38	12249.3
42	-1.66797	0.990319	1.82597	1	8299	8299	0.693633	2.63092	2725.85
43	-1.66221	1.36784	2.54248	1	13937	13937	1.68599	3.35054	5506.4
44	-2.36609	-1.02538	1.86729	0.994737	23	23	-1.01075	-16.2359	4.77895
45	-2.56109	1.09544	2.45457	1	1072	1072	0.462257	0.296969	335.505
46	-2.33267	1.94326	2.98209	1	10019	10019	1.58351	2.99621	3889.54
47	-3.98401	-1.30413	2.80505	0.1	1	1	-1.16439	-0.879302	0.1
48	-3.74341	-1.75201	2.14267	0	0	0	0	0	0
49	-3.06564	0.354038	1.96495	1	135	135	0.140584	-4.16895	39.3474
50	-3.85878	-1.31119	1.20307	0.352632	2	2	-0.527781	-0.464374	0.436842
51	-1.52676	0.0116968	1.97618	1	2108	2108	0.914482	1.21341	723.753
52	-2.79433	-0.118458	1.3479	1	75	75	-0.589757	-7.98848	18.0842
53	-2.28549	-1.04541	1.72779	1	55	55	-0.115923	-9.20156	15.0579
54	-1.46371	1.41455	1.77879	1	18568	18568	2.53925	3.7784	8399.91
55	-1.46497	-0.286133	1.58974	1	1135	1135	-0.153585	0.187275	308.195
56	-3.40763	-1.03687	2.35546	0.189474	1	1	-0.59155	-0.0965971	0.189474
57	-2.29382	-0.926741	1.1131	1	27	27	0.250344	-14.3245	8.1
58	-3.75992	1.85303	1.61138	1	1067	1067	0.652741	0.342144	347.616
59	-2.45296	-0.0454489	1.38376	1	241	241	-0.160452	-2.58359	65.3105
60	-2.40219	-1.45038	2.23187	1	69	69	-1.93213	-12.2193	10.2158
61	-1.83559	-0.103766	2.58132	1	868	868	0.0338749	-0.112183	246.642
62	-2.66787	-0.677795	2.26745	1	83	83	-0.757457	-7.66336	19.0632
63	-1.20023	-1.14336	2.98105	1	699	699	-1.12012	-0.928063	144.289
64	-1.61086	-1.44689	2.03745	1	149	149	-1.16017	-5.24675	30.2211
65	-2.91023	1.9978	1.42002	1	5549	5549	1.02248	2.28036	1945.21
66	-1.00105	-1.85382	2.91114	1	5555	5555	0.470829	2.16434	1741.47
67	-2.01223	1.55935	1.10954	1	14009	14009	0.997079	3.22911	4886.74
68	-3.27883	-1.76463	1.42257	0.521053	1	1	1.53133	1.46699	0.521053
69	-2.54179	-1.67717	1.41386	0.873684	6	6	-0.142133	-4.26137	1.61579
70	-3.77562	0.1578	1.1	0.973684	13	13	0.0353355	-10.8323	3.7
71	-2.20071	-1.77161	2.74003	1	412	412	-0.175574	-1.39453	111.247
72	-1.86473	-0.923426	2.12023	1	155	155	-0.513159	-4.27277	38.2737
73	-1.81838	-0.791831	1.95567	1	795	795	-0.458927	-0.416106	199.521
74	-3.81704	0.228376	2.02037	1	18	18	1.04985	-16.5461	6.48947
75	-3.19427	0.839819	1.47422	1	339	339	-0.556472	-2.00692	82.8053
76	-3.6519	-1.62289	2.76651	0.284211	3	3	-1.72331	-2.74926	0.3
77	-3.92282	1.73371	2.85273	0.778947	6	6	-0.757027	-2.62466	1.28947
78	-1.75287	-1.00167	2.60629	1	427	427	-1.38364	-2.07159	80.4842
79	-2.84224	1.63188	2.04363	1	3859	3859	0.520196	1.78871	1222.6
80	-3.67594	-0.406105	1.30481	0.852632	7	7	-0.718179	-4.4804	1.54211
81	-3.35372	-0.620747	1.00656	0.431579	3	3	-0.975242	-1.40574	0.536842
82	-2.35966	-1.53197	2.20563	0.994737	22	22	-1.25266	-17.7253	4.17368
83	-1.66824	-0.905982	1.29686	1	521	521	-1.25208	-1.5473	102.868
84	-3.90718	1.20168	2.59324	1	49	49	0.650879	-8.76506	16.0474
85	-1.69219	1.84819	1.37988	1	18113	18113	2.51064	3.74903	8159.28
86	-1.9413	-1.35344	2.1496	1	41	41	-0.422843	-12.1228	10.3316
87	-1.63238	-1.46791	1.11542	1	288	288	-2.0485	-3.99523	41.2632
88	-1.21656	-0.427285	2.33152	1	3765	3765	0.144811	1.67273	1097.87
89	-1.31852	1.85443	2.93521	1	19958	19958	4.83736	3.40282e+38	12108.7
90	-2.44112	-1.66867	1.45821	0.336842	1	1	0.351953	0.720808	0.336842
91	-3.1309	1.85727	2.1182	1	3308	3308	-0.0840804	1.47257	913.737
92	-2.02662	0.566016	2.62223	1	2388	2388	0.454307	1.24746	746.016
93	-3.38317	-0.444836	1.10062	0.963158	11	11	1.05893	-6.41139	4.02632
94	-2.09759	1.03691	2.09933	1	4331	4331	0.124842	1.81856	1257.1
95	-3.02521	-1.84131	2.15835	0.194737	2	2	-1.51284	-1.86305	0.2
96	-1.03406	0.0799324	2.09629	1	5979	5979	0.372929	2.21931	1835.07
97	-1.8039	-1.26355	1.94368	1	120	120	-0.96847	-5.97899	25.8789
98	-2.38711	-1.37954	2.91631	1	205	205	-0.879149	-3.65201	45.5526
99	-1.42999	1.20461	2.27184	1	10535	10535	1.4452	3.02279	3991.99
100	-3.78083	1.2623	1.47908	1	236	236	-0.21523	-2.67568	63.0789
101	-1.72494	-1.92786	1.69728	1	33	33	-1.46865	-17.6799	5.83684
102	-3.81949	-1.41689	1.69136	0.352632	2	2	-0.812352	-0.7746	0.368421
103	-1.13145	1.13397	1.09558	1	18865	18865	3.19964	3.88888	9370.86
104	-2.91633	-1.70403	1.6631	0.763158	4	4	-0.16515	-2.07478	1.06316
105	-3.95657	1.0318	1.04375	1	91	91	0.548883	-5.42057	29.0842
106	-2.59201	1.98217	2.93214	1	12053	12053	1.22492	3.11959	4388.87
107	-3.80101	-1.8709	1.57099	0	0	0	0	0	0
108	-3.13154	-0.384442	2.9585	1	27	27	0.594869	-13.5742	8.77368
109	-1.89877	1.18273	2.88172	1	7042	7042	1.02119	2.5281	2467.93
110	-1.42921	-0.103379	1.80097	1	2283	2283	0.453033	1.19658	713.021
111	-2.83636	0.855552	2.03151	1	666	666	0.768982	-0.259017	222.226
112	-1.6339	1.85044	2.7812	1	15053	15053	1.87624	3.46106	6139.63
113	-3.7869	0.414578	2.57512	1	17	17	-0.305837	-20.9176	4.4
114	-2.4325	1.3426	2.55821	1	3144	3144	1.29229	1.73143	1159.19
115	-1.67195	0.211823	1.23862	1	2242	2242	-0.0413834	1.04812	625.716
116	-3.04571	1.4861	2.11139	1	1886	1886	0.138316	0.897179	549.142
117	-3.47989	-0.664395	2.69094	0.984211	13	13	0.5824	-11.8684	4.25263
118	-3.8917	-0.52425	1.24775	0	0	0	0	0	0
119	-1.73224	-0.32708	2.36354	1	511	511	-0.270916	-1.04588	134.7
120	-3.07894	-1.47832	1.57445	0.605263	2	2	0.698066	-0.715558	0.731579
121	-3.59096	0.930165	1.34035	1	152	152	0.0531785	-3.81744	43.3947
122	-3.20168	-1.56909	1.28943	0.8	4	4	0.240262	-2.81548	1.22105
123	-3.08485	0.427832	1.02292	1	134	134	-0.0629676	-4.38224	37.1947
124	-2.02275	-1.8738	1.52801	0.931579	6	6	0.423172	-8.07285	1.91579
125	-2.19629	-1.6099	1.21386	0.989474	22	22	0.617152	-9.61643	7.2
126	-3.94427	1.04073	2.56762	1	27	27	1.03629	-12.7272	9.63684
127	-1.74267	-1.77992	1.70465	1	372	372	-1.72096	-2.73906	61.6158
128	-1.1042	0.685509	2.26261	1	13676	13676	1.1999	3.24361	4956.85
129	-3.29631	0.0494112	1.61328	1	51	51	-0.0093139	-9.54654	14.3421
130	-1.62546	0.0965909	2.81873	1	1733	1733	-0.313425	0.666374	451.963
131	-1.52471	0.991787	2.85834	1	8605	8605	0.565738	2.64094	2752.44
132	-1.81054	-0.545225	2.94422	1	827	827	-0.3633	-0.320973	212.879
133	-3.64984	0.507011	2.90939	1	28	28	0.206739	-14.0806	8.31053
134	-1.60329	0.463392	2.01008	1	4251	4251	1.20532	2.03634	1542.44
135	-3.2257	0.631287	2.91893	1	175	175	0.556438	-3.01043	55.9474
136	-3.51465	0.482261	1.79137	1	74	74	-0.770839	-8.4157	16.9158
137	-2.36725	-0.945955	2.45982	1	203	203	-0.697818	-3.50659	47.6053
138	-1.01218	1.60125	2.25825	1	19982	19982	5.01929	3.40282e+38	12367.3
139	-1.81599	-0.0792956	1.12776	1	732	732	0.224371	-0.290635	217.389
140	-2.80138	-1.32816	1.4948	0.442105	4	4	-1.40841	-2.57253	0.578947
141	-1.44135	0.778013	1.0116	1	9737	9737	0.867301	2.83139	3311.72
142	-1.83828	-1.95704	2.67775	0.994737	28	28	-1.51059	-16.1069	4.83684
143	-2.08193	-1.82749	1.1232	0.947368	11	11	-0.391969	-7.31488	2.75789
144	-3.55053	-1.96379	1.39194	0	0	0	0	0	0
145	-1.71649	-0.204018	2.33188	1	983	983	-0.304073	-0.0556914	256.963
