Sim	LOG10_N_NOW	LOG10_MUTATION_RATE	N_NOW	MUTATION_RATE	H_1	S_1	prS_1	D_1	FS_1	Pi_1
1	2.93368	-6.84556	858	1.42707e-07	0.857895	22	22	-1.12584	-0.484989	4.37895
2	3.50471	-8.53609	3196	2.91013e-09	0.521053	1	1	1.53133	1.46699	0.521053
3	5.89457	-7.52043	784459	3.01693e-08	1	2093	2093	-0.356764	0.877049	539.763
4	5.34423	-8.68334	220915	2.07331e-09	0.936842	100	100	0.958499	4.86878	34.7632
5	3.42079	-6.46233	2635	3.44878e-07	0.973684	159	159	0.494909	1.59444	50.1737
6	2.5534	-8.74374	357	1.80412e-09	0	0	0	0	0	0
7	5.9727	-8.64402	939084	2.26977e-09	0.968421	143	143	-0.344123	1.63903	36.9526
8	2.62284	-7.51958	419	3.0229e-08	0.189474	1	1	-0.59155	-0.0965971	0.189474
9	3.85791	-7.65859	7209	2.19488e-08	0.910526	16	16	-0.793261	-4.29953	3.54737
10	2.0945	-8.23362	124	5.83957e-09	0	0	0	0	0	0
11	3.58	-7.80991	3801	1.54912e-08	0.873684	10	10	-1.13322	-3.52319	1.90526
12	5.1162	-8.57601	130675	2.65455e-09	0.915789	31	31	0.281033	2.13338	9.36316
13	5.11556	-6.72879	130484	1.86728e-07	1	2814	2814	-0.174919	1.26843	760.105
14	2.23709	-7.40401	172	3.94445e-08	0	0	0	0	0	0
15	4.08377	-6.32934	12127	4.68442e-07	0.994737	823	823	-0.23576	1.41019	218.916
16	4.25876	-7.88924	18144	1.29052e-08	0.957895	51	51	0.512668	-0.124509	16.2053
17	4.63885	-6.67867	43536	2.0957e-07	0.994737	1612	1612	2.04549	3.46801	676.074
18	5.01616	-6.19264	103790	6.41741e-07	1	10277	10277	2.05188	3.10179	4312.96
19	2.61362	-8.25449	410	5.56553e-09	0.615789	2	2	1.98958	1.32111	1.04211
20	5.5089	-6.99605	322771	1.00914e-07	0.994737	4055	4055	1.03456	4.88004	1424.82
21	4.72427	-8.10504	52999	7.85156e-09	0.926316	49	49	0.339838	2.12109	14.9789
22	5.87621	-6.4195	751979	3.80623e-07	1	17439	17439	2.06728	3.64151	7336.47
23	5.15773	-7.54049	143790	2.88079e-08	0.989474	644	644	-0.483215	2.29606	160.558
24	5.68746	-6.41885	486924	3.81194e-07	1	10311	10311	-0.907	2.44513	2278.28
25	3.35112	-8.519	2244	3.02694e-09	0.336842	1	1	0.351953	0.720808	0.336842
26	3.25829	-7.72892	1812	1.86671e-08	0.663158	4	4	1.15919	1.11685	1.57895
27	5.95455	-7.24035	900630	5.74978e-08	1	8298	8298	-0.44561	2.35564	2090.61
28	4.18383	-6.41051	15269	3.88592e-07	0.984211	617	617	-1.04964	3.2359	130.274
29	2.23374	-7.1928	171	6.41511e-08	0.352632	2	2	-0.527781	-0.464374	0.436842
30	3.60239	-8.88643	4003	1.29888e-09	0	0	0	0	0	0
31	3.35913	-7.23734	2286	5.78979e-08	0.936842	18	18	-0.519038	-2.23372	4.37368
32	2.91332	-6.93836	819	1.15251e-07	0.605263	11	11	0.216085	3.56081	3.28947
33	2.65928	-6.47991	456	3.31202e-07	0.831579	29	29	0.319556	1.90812	8.84211
34	2.46548	-8.60097	292	2.5063e-09	0	0	0	0	0	0
35	3.31691	-6.99239	2074	1.01769e-07	0.931579	21	21	-0.0395642	-2.02347	5.85789
36	4.28644	-7.18771	19339	6.49064e-08	0.978947	182	182	-0.0319391	1.63811	50.9053
37	2.43742	-6.41013	273	3.88933e-07	0.9	18	18	1.07717	0.0158667	6.52632
38	5.76355	-6.08608	580162	8.20205e-07	1	18706	18706	2.91383	3.84055	8932.86
39	3.63223	-8.4225	4287	3.78003e-09	0.436842	3	3	-1.1581	-1.6626	0.478947
40	4.3815	-6.25282	24071	5.58696e-07	1	1568	1568	0.612597	0.802397	506.558
41	4.79454	-7.62939	62307	2.34754e-08	0.994737	231	231	0.100419	-0.923975	66.6842
42	2.52559	-7.55074	335	2.81358e-08	0.436842	3	3	-1.1581	-1.6626	0.478947
43	4.20174	-6.0686	15912	8.53893e-07	0.994737	2107	2107	0.0234182	3.23747	597.216
44	2.5677	-6.08251	369	8.2698e-07	0.889474	26	26	-1.16923	-0.784682	5.12105
45	4.43583	-6.25798	27278	5.52109e-07	0.989474	1798	1798	-1.33364	4.21558	345.6
46	5.27767	-8.93882	189524	1.15129e-09	0.947368	47	47	-1.33166	-1.35382	8.85263
47	5.67709	-8.37594	475438	4.20782e-09	0.989474	167	167	-1.01032	-1.36115	35.5947
48	2.3855	-8.76908	242	1.70184e-09	0	0	0	0	0	0
49	2.75585	-8.68272	569	2.07625e-09	0.478947	1	1	1.26176	1.3113	0.478947
50	5.67711	-6.54563	475456	2.84692e-07	1	11381	11381	-1.2356	2.43839	2263.56
51	2.31378	-6.8119	205	1.54206e-07	0.368421	6	6	-2.05624	-2.47262	0.6
52	3.06003	-7.73383	1148	1.84573e-08	0.526316	2	2	2.03336	3.08701	1.05263
53	3.8468	-6.42689	7027	3.74203e-07	1	366	366	-0.83734	-2.01627	82.4632
54	3.16918	-7.48335	1476	3.28587e-08	0.442105	5	5	-1.78003	-2.52203	0.589474
55	2.14446	-7.29353	139	5.08705e-08	0.268421	1	1	-0.0861022	0.380606	0.268421
56	4.88496	-8.74219	76729	1.81055e-09	0.857895	20	20	1.31576	3.35167	7.58947
57	5.97378	-7.54023	941408	2.88251e-08	0.994737	3334	3334	-0.459551	3.86754	836.811
58	2.87376	-8.04183	747	9.08166e-09	0.468421	2	2	1.13587	0.820314	0.836842
59	4.67312	-8.93906	47111	1.15063e-09	0.636842	3	3	2.01703	2.25558	1.48421
60	4.36336	-8.73646	23086	1.8346e-09	0.694737	7	7	0.211485	0.825449	2.1
61	4.60427	-8.96817	40204	1.07605e-09	0.857895	11	11	0.523122	0.527843	3.55789
62	2.85493	-7.46669	716	3.41437e-08	0.678947	2	2	1.66123	1.13558	0.963158
63	4.36304	-6.47327	23069	3.363e-07	0.994737	998	998	0.560413	2.09003	318.942
64	3.35635	-6.9381	2271	1.15319e-07	0.573684	21	21	-0.368708	2.97445	5.34737
65	3.60637	-8.75044	4039	1.77646e-09	0.468421	3	3	-0.642768	0.269831	0.642105
66	4.71605	-6.29248	52005	5.09946e-07	1	3828	3828	-0.420772	1.53895	970.784
67	2.62554	-8.92034	422	1.20131e-09	0	0	0	0	0	0
68	2.77794	-7.16191	599	6.888e-08	0.626316	4	4	1.98353	3.03747	1.9
69	3.8537	-7.06558	7140	8.59843e-08	0.978947	90	90	-0.74234	-2.00808	20.7737
70	3.05859	-8.30686	1144	4.93335e-09	0.1	1	1	-1.16439	-0.879302	0.1
71	3.23541	-8.63516	1719	2.31652e-09	0	0	0	0	0	0
72	3.52663	-7.43667	3362	3.65872e-08	0.9	12	12	0.180625	-1.17051	3.55263
73	3.05176	-6.57358	1126	2.66943e-07	0.931579	63	63	1.10301	2.81479	22.5842
74	5.22664	-7.77549	168517	1.67691e-08	0.973684	366	366	0.275647	4.21988	109.979
75	4.46904	-8.23761	29446	5.78621e-09	0.889474	30	30	0.366783	2.0838	9.24737
76	4.95154	-7.49501	89441	3.1988e-08	0.989474	288	288	-1.51746	-0.364727	51.6105
77	4.81667	-6.49172	65565	3.22313e-07	1	2052	2052	-2.10053	0.101165	288.674
78	2.55645	-8.47219	360	3.37141e-09	0	0	0	0	0	0
79	4.29193	-8.28463	19585	5.1924e-09	0.715789	7	7	-1.16547	-0.497983	1.27368
80	2.91028	-6.45299	813	3.52376e-07	0.947368	41	41	-1.63634	-3.41987	6.81579
81	3.5771	-7.05753	3776	8.75926e-08	0.957895	50	50	0.556402	-0.157056	16.0421
82	2.96361	-6.5848	919	2.60137e-07	0.936842	13	13	-0.569041	-3.75071	3.08947
83	3.03987	-7.20111	1096	6.29341e-08	0.789474	4	4	0.294316	-0.561918	1.24211
84	4.81712	-7.583	65632	2.61219e-08	0.984211	340	340	0.708778	1.45494	112.121
85	2.8946	-7.7711	784	1.69395e-08	0.394737	2	2	0.938857	2.34328	0.789474
86	4.05091	-8.21967	11243	6.0302e-09	0.415789	4	4	0.105124	1.60375	1.16842
87	3.61221	-7.98987	4094	1.0236e-08	0.789474	11	11	0.204044	0.277574	3.27895
88	3.39985	-8.55178	2511	2.80684e-09	0	0	0	0	0	0
89	3.22577	-7.86708	1681	1.35807e-08	0.505263	4	4	-0.948945	-0.636673	0.757895
90	3.48796	-7.75553	3075	1.75576e-08	0.426316	2	2	-0.44022	-0.377482	0.457895
91	3.07704	-8.6981	1194	2.00399e-09	0.1	1	1	-1.16439	-0.879302	0.1
92	3.83892	-7.34223	6901	4.54746e-08	0.831579	24	24	-0.0279933	0.109957	6.71579
93	4.75564	-8.90543	56968	1.24328e-09	0.889474	12	12	-0.579025	-1.95191	2.83684
94	4.64642	-7.94605	44301	1.13227e-08	0.921053	84	84	0.114936	4.33385	24.3421
