Sim	LOG10_THETA	H_1	S_1	prS_1	D_1	FS_1	Pi_1
1	-2.29467	0.978947	329	329	0.640042	2.65179	106.968
2	-1.67288	1	1312	1312	0.0558005	0.436697	374.737
3	-1.38085	1	2964	2964	-0.669633	1.17915	702.095
4	-3.96936	0.778947	11	11	-0.163196	1.87464	2.95789
5	-3.64557	0.368421	7	7	-2.12144	-2.04991	0.7
6	-3.19481	0.963158	32	32	-0.908832	-4.57098	6.93684
7	-2.38308	0.989474	333	333	0.567343	1.33919	106.632
8	-2.80803	0.978947	157	157	-0.362492	0.00770349	40.3789
9	-3.58344	0.878947	24	24	-0.391214	-1.87934	6.07895
10	-2.44687	0.994737	166	166	0.0852093	-1.76289	47.7526
11	-3.0216	0.942105	78	78	0.130708	0.115656	22.6895
12	-2.23401	0.957895	437	437	0.509608	7.00892	138.205
13	-2.04314	0.994737	529	529	0.254884	0.817918	158.2
14	-2.24871	0.994737	188	188	-0.903976	-2.1697	41.4474
15	-3.62467	0.736842	9	9	-0.849016	-1.34389	1.91053
16	-2.82041	0.984211	170	170	1.54212	1.30195	65.7474
17	-1.7344	0.994737	1359	1359	-1.25211	1.77976	268.621
18	-2.94708	0.989474	66	66	0.377561	-3.31295	20.3316
19	-3.77462	0.868421	8	8	-0.0821407	-0.914821	2.2
20	-1.98056	0.989474	612	612	1.10753	3.04157	218.179
21	-1.60821	0.989474	1154	1154	-0.133268	3.97306	314.932
22	-1.14914	1	6115	6115	1.19158	2.41493	2213.06
23	-3.39735	0.957895	35	35	-0.572868	-3.55353	8.43684
24	-3.52866	0.868421	12	12	1.54353	1.53422	4.83684
25	-1.84664	0.994737	1254	1254	-0.0626019	2.24894	348.184
26	-3.78802	0.757895	10	10	0.172692	0.860954	2.95789
27	-2.14696	0.994737	497	497	-0.553182	0.323425	121.547
28	-2.37865	0.994737	169	169	-1.48667	-3.1871	30.5474
29	-1.40995	1	1649	1649	-0.536459	0.53389	405.326
30	-3.5272	0.905263	14	14	-0.462717	-1.27171	3.44737
31	-3.99482	0.747368	5	5	-0.123137	-0.344517	1.35263
32	-1.33847	1	2707	2707	0.701744	1.44444	890.674
33	-1.66	1	1693	1693	-0.660256	0.523916	402.053
34	-2.20421	0.994737	307	307	-0.227263	-0.471442	81.8158
35	-2.46111	0.968421	231	231	0.413699	4.04979	71.5895
