ReadGroup	Position	EventType	Scaling	Observations	firstDerivative	SecondDerivative	F	hasConverged
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	1	M	1.35732	8.07465	0	0	0.000142564	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	2	M	1.17424	8.07476	0	0	0.000282458	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	3	M	1.02683	8.07504	0	0	2.75997e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	4	M	0.999151	8.07497	0	0	1.81112e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	5	M	0.949268	8.07504	0	0	7.22091e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	6	M	0.941056	8.07521	0	0	1.85929e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	7	M	0.963958	8.07533	0	0	2.69019e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	8	M	0.92691	8.07538	0	0	1.31513e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	9	M	0.92358	8.07537	0	0	2.96056e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	10	M	0.915938	8.07548	0	0	3.36913e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	11	M	0.918669	8.07553	0	0	4.03077e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	12	M	0.925127	8.07565	0	0	3.10474e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	13	M	0.923838	8.07572	0	0	2.75624e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	14	M	0.92148	8.0758	0	0	3.28379e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	15	M	0.931283	8.07584	0	0	1.66377e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	16	M	0.945051	8.07591	0	0	3.54894e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	17	M	0.950586	8.07592	0	0	1.3825e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	18	M	0.954923	8.07594	0	0	1.37189e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	19	M	0.954563	8.07596	0	0	5.55208e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	20	M	0.956465	8.07614	0	0	2.83503e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	21	M	0.959852	8.07617	0	0	2.11196e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	22	M	0.96006	8.07628	0	0	2.13307e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	23	M	0.966124	8.07631	0	0	1.16216e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	24	M	0.972105	8.0763	0	0	6.93708e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	25	M	0.973667	8.07637	0	0	5.06396e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	26	M	0.974447	8.07633	0	0	6.11675e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	27	M	0.977997	8.07627	0	0	2.60939e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	28	M	0.981452	8.07621	0	0	4.97456e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	29	M	0.987359	8.07618	0	0	1.12736e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	30	M	0.986785	8.07614	0	0	6.98811e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	31	M	0.988849	8.07152	0	0	2.04692e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	32	M	0.990367	8.06597	0	0	1.6694e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	33	M	0.993562	8.0594	0	0	1.01962e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	34	M	0.994558	8.05162	0	0	7.66531e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	35	M	0.998158	8.04242	0	0	5.8653e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	36	M	0.995825	8.03189	0	0	1.46043e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	37	M	0.999996	8.02036	0	0	1.44018e-08	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	38	M	0.999487	8.00786	0	0	1.69199e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	39	M	1.00143	7.99454	0	0	4.80781e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	40	M	1.00744	7.98063	0	0	4.50791e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	41	M	1.00886	7.96605	0	0	6.47474e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	42	M	1.00606	7.95086	0	0	1.34936e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	43	M	1.00885	7.93505	0	0	6.07832e-08	1
