ReadGroup	Position	EventType	Scaling	Observations	firstDerivative	SecondDerivative	F	hasConverged
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	1	M	1.58675	8.07475	0	0	6.45702e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	2	M	1.79356	8.07228	0	0	1.71335e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	3	M	0.20191	8.07527	0	0	5.71073e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	4	M	1.05766	8.07518	0	0	4.09785e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	5	M	0.697496	8.07527	0	0	3.79172e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	6	M	0.660777	8.07548	0	0	1.541e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	7	M	0.633929	8.07564	0	0	8.37439e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	8	M	0.809665	8.07569	0	0	8.6851e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	9	M	0.927325	8.0757	0	0	9.47867e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	10	M	0.614292	8.07581	0	0	7.44537e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	11	M	0.921006	8.07588	0	0	5.4631e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	12	M	0.587342	8.076	0	0	5.4157e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	13	M	0.653144	8.07606	0	0	6.35927e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	14	M	0.683552	8.07614	0	0	5.44663e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	15	M	0.619621	8.07618	0	0	8.04223e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	16	M	0.797345	8.07622	0	0	4.25482e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	17	M	0.795835	8.07621	0	0	5.90247e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	18	M	0.851286	8.07619	0	0	4.38818e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	19	M	0.856059	8.07617	0	0	5.25268e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	20	M	0.871354	8.07633	0	0	5.77151e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	21	M	0.554108	8.07633	0	0	3.76298e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	22	M	0.638401	8.07639	0	0	5.90979e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	23	M	0.698677	8.07637	0	0	4.486e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	24	M	1.99601	8.07569	0	0	6.72658e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	25	M	0.293408	8.07637	0	0	6.03099e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	26	M	0.595913	8.07629	0	0	5.34253e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	27	M	0.579674	8.07619	0	0	3.15442e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	28	M	0.62512	8.07612	0	0	5.58128e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	29	M	0.573231	8.07606	0	0	9.47931e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	30	M	0.662162	8.07602	0	0	3.92984e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	31	M	0.63552	8.07136	0	0	6.51525e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	32	M	0.662144	8.06582	0	0	5.09246e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	33	M	0.587483	8.05922	0	0	6.79165e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	34	M	0.665994	8.05144	0	0	6.31713e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	35	M	0.716837	8.04223	0	0	4.84114e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	36	M	0.798937	8.0317	0	0	5.73929e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	37	M	0.664811	8.02018	0	0	8.04013e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	38	M	1.23342	8.00767	0	0	6.88843e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	39	M	0.823035	7.99435	0	0	4.06335e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	40	M	1.37362	7.98045	0	0	7.13279e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	41	M	1.09222	7.96589	0	0	1.28385e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	42	M	0.887852	7.95072	0	0	6.05423e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	43	M	1.86343	7.9349	0	0	7.10048e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	44	M	1.51803	7.91848	0	0	4.17728e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	45	M	0.747162	7.90157	0	0	6.23109e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	46	M	1.18385	7.88419	0	0	7.35095e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	47	M	0.747762	7.86625	0	0	7.28229e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	48	M	0.75516	7.84776	0	0	7.3176e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	49	M	1.12785	7.82881	0	0	4.25803e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	50	M	1.1272	7.80944	0	0	5.34069e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	51	M	1.15975	7.78978	0	0	2.28367e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	52	M	0.878163	7.76972	0	0	5.8018e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	53	M	0.956328	7.74921	0	0	9.73953e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	54	M	1.02015	7.7283	0	0	2.28747e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	55	M	0.822956	7.70707	0	0	5.08521e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	56	M	1.06374	7.68547	0	0	9.68551e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	57	M	0.764828	7.66351	0	0	1.30583e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	58	M	0.87268	7.64117	0	0	9.69726e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	59	M	0.95227	7.61846	0	0	3.73068e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	60	M	1.32354	7.59539	0	0	9.56595e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	61	M	1.12244	7.57194	0	0	2.13912e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	62	M	1.0573	7.54821	0	0	6.62234e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	63	M	0.862323	7.52406	0	0	8.92189e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	64	M	1.09392	7.49957	0	0	8.87107e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	65	M	1.82492	7.4747	0	0	5.12303e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	66	M	1.05737	7.44947	0	0	5.32979e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	67	M	0.786086	7.42392	0	0	1.66226e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	68	M	1.42613	7.39792	0	0	1.54669e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	69	M	0.765734	7.37148	0	0	2.01093e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	70	M	1.26914	7.34457	0	0	7.1351e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	71	M	1.14893	7.31721	0	0	7.90222e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	72	M	0.706533	7.28939	0	0	6.7798e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	73	M	0.934165	7.26108	0	0	5.55691e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	74	M	1.05377	7.23229	0	0	4.36564e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	75	M	0.702068	7.20277	0	0	5.39431e-08	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	76	M	0.568876	7.1727	0	0	2.29893e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	77	M	1.02353	7.14199	0	0	1.2857e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	78	M	0.681907	7.11067	0	0	3.49888e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	79	M	0.942292	7.07859	0	0	5.0938e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	80	M	1.3817	7.04548	0	0	7.28597e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	81	M	0.69005	7.01154	0	0	1.65084e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	82	M	0.966033	6.97647	0	0	1.44598e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	83	M	0.773827	6.94032	0	0	4.11037e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	84	M	1.18249	6.903	0	0	1.26477e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	85	M	0.778837	6.86422	0	0	3.44129e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	86	M	1.10427	6.82535	0	0	3.74944e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	87	M	0.872239	6.78347	0	0	1.06944e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	88	M	0.700385	6.74109	0	0	1.48706e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	89	M	0.799369	6.69498	0	0	3.44655e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	90	M	0.853601	6.64749	0	0	1.29489e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	91	M	1.48938	6.59691	0	0	1.92358e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	92	M	2.10887	6.54253	0	0	1.27819e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	93	M	3.09122	6.48383	0	0	5.70369e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	94	M	3.07539	6.41943	0	0	6.99983e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	95	M	3.19516	6.34819	0	0	2.39873e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	96	M	4.85683	6.26727	0	0	7.46351e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	97	M	4.86692	6.17189	0	0	4.53523e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	98	M	4.7945	6.04541	0	0	1.3002e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	99	M	3.97115	5.80505	0	0	3.57964e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	100	M	1	4.11481	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	101	M	1	3.49927	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	102	M	1	3.06371	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	103	M	1	2.6464	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	104	M	1	1.85126	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	105	M	1	0	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	106	M	1	0	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	107	M	1	0	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	108	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	109	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	110	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	111	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	112	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	113	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	114	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	115	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	116	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	117	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	118	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	119	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	120	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	121	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	122	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	123	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	124	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	125	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	126	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	127	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	128	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	129	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	130	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	131	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	132	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	133	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	134	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	135	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	136	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	137	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	138	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	139	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	140	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	141	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	142	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	143	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	144	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	145	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	146	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	147	M	1	-	0	0	0	1
