ReadGroup	QualityScore	EventType	EmpiricalQuality	Observations	firstDerivative	SecondDerivative	F	hasConverged
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	0	M	0.457575	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	1	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	2	M	8.15492	5.43243	0	0	0.174224	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	3	M	3	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	4	M	4	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	5	M	5.29732	4.59384	0	0	0.0931893	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	6	M	5.24773	5.11044	0	0	0.288718	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	7	M	7.61229	5.8095	0	0	0.148093	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	8	M	5.79243	6.24184	0	0	0.232022	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	9	M	7.57225	6.28897	0	0	0.0924211	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	10	M	3.92159	6.66619	0	0	0.0518464	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	11	M	5.27019	6.0059	0	0	0.0660751	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	12	M	12.0209	5.27326	0	0	0.00507126	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	13	M	13.1589	5.78423	0	0	0.0361401	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	14	M	13.1927	5.58523	0	0	0.261163	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	15	M	12.9364	6.21967	0	0	0.187971	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	16	M	9.29577	6.81745	0	0	0.145293	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	17	M	12.7741	6.52269	0	0	0.163076	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	18	M	10.5677	6.73773	0	0	0.250413	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	19	M	15.3357	6.65256	0	0	0.0998555	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	20	M	20.9969	5.94081	0	0	0.166624	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	21	M	18.9724	6.05299	0	0	0.168154	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	22	M	19.8579	6.33427	0	0	0.185365	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	23	M	20.2612	6.67805	0	0	0.31894	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	24	M	21.3175	6.92564	0	0	0.300303	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	25	M	21.3502	7.13202	0	0	0.116899	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	26	M	22.5023	7.04529	0	0	0.0978198	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	27	M	23.0912	7.32711	0	0	0.225905	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	28	M	23.4609	7.03627	0	0	0.245966	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	29	M	25.5058	7.12357	0	0	0.0952016	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	30	M	28.0048	7.66182	0	0	0.365516	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	31	M	27.9289	7.94694	0	0	0.189682	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	32	M	29.9554	7.64158	0	0	0.383221	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	33	M	29.7096	7.91442	0	0	0.204804	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	34	M	30.7996	8.50779	0	0	0.0525408	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	35	M	31.771	8.336	0	0	0.0779766	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	36	M	32.7016	8.10701	0	0	0.131441	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	37	M	33.8659	8.82731	0	0	0.0254688	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	38	M	34.7769	8.43264	0	0	0.0634975	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	39	M	35.8535	8.89552	0	0	0.0242941	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	40	M	33.776	8.83128	0	0	0.0250131	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	41	M	34.7783	9.48026	0	0	0.00599278	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	42	M	42	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	43	M	43	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	44	M	44	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	45	M	45	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	46	M	46	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	47	M	47	-	0	0	0	1
