ecotype_id,latitude,longitude,country,250k
1175,59.15,16.1167,SWE,N
1176,59.15,16.1167,SWE,N
1177,59.15,16.1167,SWE,N
1178,59.15,16.1167,SWE,N
1179,59.15,16.1167,SWE,N
1180,59.15,16.1167,SWE,N
1181,59.15,16.1167,SWE,N
1182,59.15,16.1167,SWE,N
1183,59.15,16.1167,SWE,N
1184,59.15,16.1167,SWE,N
1185,59.15,16.1167,SWE,N
1186,59.15,16.1167,SWE,N
1187,59.15,16.1167,SWE,N
1188,59.15,16.1167,SWE,N
1189,59.15,16.1167,SWE,N
1190,59.15,16.1167,SWE,N
1191,59.15,16.1167,SWE,N
1192,59.15,16.1167,SWE,N
1193,59.15,16.1167,SWE,N
1194,59.15,16.1167,SWE,N
1195,59.15,16.1167,SWE,N
1196,59.15,16.1167,SWE,N
1197,59.15,16.1167,SWE,N
1198,59.15,16.1167,SWE,N
1199,59.15,16.1167,SWE,N
1200,59.15,16.1167,SWE,N
1171,59.15,16.1167,SWE,N
1172,59.15,16.1167,SWE,N
1173,59.15,16.1167,SWE,N
1174,59.15,16.1167,SWE,N
755,51.75,80.8333,RUS,N
9489,55.9215,-3.1711,UK,N
9490,55.9218,-3.17108,UK,Y
9491,55.9216,-3.16967,UK,N
9492,55.9212,-3.17328,UK,N
9493,55.9213,-3.17515,UK,N
9494,55.9213,-3.17915,UK,N
9495,55.9214,-3.17917,UK,N
9496,55.9212,-3.17857,UK,Y
9497,55.8797,-3.1551,UK,N
8623,42.093,-86.359,USA,N
8624,42.093,-86.359,USA,N
8644,42.093,-86.359,USA,N
8719,42.0945,-86.3253,USA,Y
8753,42.0945,-86.3253,USA,N
9505,55.8877,-3.21072,UK,N
9503,55.8877,-3.21072,UK,N
8608,42.093,-86.359,USA,Y
8609,42.093,-86.359,USA,N
8610,42.093,-86.359,USA,Y
8611,42.093,-86.359,USA,N
8612,42.093,-86.359,USA,Y
8613,42.093,-86.359,USA,N
8614,42.093,-86.359,USA,N
8615,42.093,-86.359,USA,N
8616,42.093,-86.359,USA,Y
8617,42.093,-86.359,USA,Y
8618,42.093,-86.359,USA,N
8619,42.093,-86.359,USA,Y
8620,42.093,-86.359,USA,N
8621,42.093,-86.359,USA,N
8622,42.093,-86.359,USA,N
8625,42.093,-86.359,USA,N
8626,42.093,-86.359,USA,N
8627,42.093,-86.359,USA,N
8628,42.093,-86.359,USA,N
8629,42.093,-86.359,USA,Y
8630,42.093,-86.359,USA,N
8631,42.093,-86.359,USA,Y
8632,42.093,-86.359,USA,N
8633,42.093,-86.359,USA,N
8634,42.093,-86.359,USA,N
8635,42.093,-86.359,USA,N
8636,42.093,-86.359,USA,N
8637,42.093,-86.359,USA,N
8638,42.093,-86.359,USA,N
8639,42.093,-86.359,USA,N
8640,42.093,-86.359,USA,Y
8641,42.093,-86.359,USA,N
8642,42.093,-86.359,USA,N
8643,42.093,-86.359,USA,N
8645,42.093,-86.359,USA,N
8718,42.0945,-86.3253,USA,N
8720,42.0945,-86.3253,USA,N
8721,42.0945,-86.3253,USA,N
8722,42.0945,-86.3253,USA,N
8723,42.0945,-86.3253,USA,N
8724,42.0945,-86.3253,USA,Y
8725,42.0945,-86.3253,USA,Y
8726,42.0945,-86.3253,USA,N
8727,42.0945,-86.3253,USA,Y
8728,42.0945,-86.3253,USA,N
8729,42.0945,-86.3253,USA,N
8730,42.0945,-86.3253,USA,Y
8731,42.0945,-86.3253,USA,N
8732,42.0945,-86.3253,USA,N
8733,42.0945,-86.3253,USA,N
8734,42.0945,-86.3253,USA,N
8735,42.0945,-86.3253,USA,N
