ecotype_id,accession_name,X1_LD,X2_LDV,X3_SD,X4_SDV,X5_FT10,X6_FT16,X7_FT22
5837,Bor-1,41.875,25,75.6667,42.3333,57,49.75,42
6008,Duk,26,24.6667,69.6667,58,60,41,24.25
6009,Eden-1,200,47,NA,74.6667,98,151.5,270
6016,Eds-1,83.0417,35,200,55,75,101.5,113
6040,Kni-1,200,43.2,200,78,71,92.75,87.75
6042,Lom1-1,29.1667,28,83.3403,53.6667,56,35,28.5
6043,Löv-1,200,52.8333,200,99,90,173.667,270
6046,Löv-5,200,51.25,200,117.2,92.75,149.333,270
6064,Nyl-2,200,42,200,NA,95.5,201,250
6074,Ör-1,200,43.6,200,135.333,91,97,123
6243,Tottarp-2,35.8403,24.75,98.2014,50,56,41.25,29
6709,Bg-2,33.6736,26.5,96.7014,61,52,43,39.75
6897,Ag-0,45.2083,25.5,200,72.5,62,55.75,67.25
6898,An-1,26.3403,20.4,67.8333,48.1667,41,25.5,24.75
6899,Bay-0,27.5,23.1667,88.5208,79.3333,54,34,25
6900,Bil-5,200,33.5,200,107.5,90,170.667,270
6901,Bil-7,200,30.2,200,61.5,86,169,270
6903,Bor-4,38.5278,23.8333,88.5139,56.8333,57,51.25,38
6904,Br-0,92.5347,23.3333,110.042,36.8333,65.75,77,64.5
6905,Bur-0,32,35.1667,101.042,76.3333,65,50.5,44
6906,C24,28.6667,18.6667,61.8333,27,43,37.25,45.5
6907,CIBC-17,46.8681,30.1667,102.542,53.6667,58,56.5,53
6908,CIBC-5,35.5069,23,95.6333,62.25,49,48.5,41.25
6909,Col-0,27.3333,23,93.825,56.8333,51,32,31.25
6910,Ct-1,26.8333,21.6667,69.1667,34.5,49,37,25.75
6911,Cvi-0,31.6667,22,62,26.3333,46,52.75,37.6667
6913,Eden-2,200,40.5,200,NA,99,252.5,270
6914,Edi-0,140.354,35.5,108.708,53.5,73,84.75,99.25
6915,Ei-2,41.2014,30.1667,101.031,55.6667,53,47.75,44.5
6916,Est-1,25.5,27.1667,89.6875,68.3333,63,35.5,25.75
6917,Fäb-2,200,52,200,171.5,121,221.5,230
6918,Fäb-4,200,53,200,200,108,135,270
6919,Ga-0,34.6667,24.3333,101.542,49.5,71,45.5,45.75
6920,Got-22,157.681,44.6667,200,66.1667,71,98.3333,83.5
6921,Got-7,162.514,41.6667,200,71,64,97.5,101.75
6922,Gu-0,27.5,25,70.1667,45,48,31,30.5
6923,HR-10,25.1667,23,106.375,59.8,44,42,29.5
6924,HR-5,28.8333,24.3333,84.1806,48.3333,49,39.75,47
6926,Kin-0,31.6667,22.6667,84.6736,35.8333,49,45,41
6927,Kno-10,57.4417,30.5,200,72.8333,51,61.25,71
6928,Kno-18,38.5208,30.1667,117.292,71,55,57,49.5
6929,Kondara,45.0417,27.6,86.5069,42.8333,71,56.3333,43
6930,Kz-1,35.6806,19.8333,85.4167,33,49,54.25,39.75
6931,Kz-9,31,22,83.1806,42.1667,46,36.75,29.5
6932,Ler-1,26.8333,24.3333,75.5069,61.2,51,36.25,27
6933,LL-0,46.0347,22,76,37.6667,56,51.75,55.75
6936,Lz-0,48.0417,24.5,91.5208,40.5,67.25,53.75,41.3333
6937,Mrk-0,37.3472,30.6667,83.5208,51.6667,65,50,39
6939,Mt-0,26.6667,22.5,86.2167,68,49,32.25,25.5
6940,Mz-0,26.8333,24.6667,94.1944,70,49,31.5,27.5
6942,Nd-1,25,20.8333,65,60.1667,46,28.5,29
6943,NFA-10,31.6667,23.5,NA,51.3333,49,37.25,31.5
6944,NFA-8,28,21.3333,79.6083,46.3333,49,37,30.6667
6945,Nok-3,40.2014,33,104.292,64.3333,55,53,59
6946,Oy-0,32.8403,29.8333,102.442,64.8333,62,44.5,33.5
